class,gt,pred,TP,FP,FN,precision,recall,f1,mean_cas_on_matches,mean_oc_on_matches,mean_ar_on_matches,area_a,area_b,area_intersection
Basal Plasmacytosis,8,0,0,0,8,nan,0.0,nan,nan,nan,nan,,,
Basal lymphoid aggregates,4,0,0,0,4,nan,0.0,nan,nan,nan,nan,,,
Diffuse crypt distortion (>50% area in each fragment),0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Marked (>50%) crypt distortion,5,0,0,0,5,nan,0.0,nan,nan,nan,nan,,,
Moderate to marked mononuclear cell infiltrate,23,0,0,0,23,nan,0.0,nan,nan,nan,nan,,,
No ulcer/ moderate to severe activity,0,1,0,1,0,0.0,nan,nan,nan,nan,nan,,,
Ulcer/ erosion,2,0,0,0,2,nan,0.0,nan,nan,nan,nan,,,
Ulcer/ erosions,0,6,0,6,0,0.0,nan,nan,nan,nan,nan,,,
unknown,0,8,0,8,0,0.0,nan,nan,nan,nan,nan,,,
